term	description
company unions	unions that were not worker organized or controlled, where there was connivance between union leaders and the employers
compellable	legally required to give evidence at a hearing
compendious mode of expressing facts	testimony in which the witness mixes opinion into his narrative in order to express himself; permitted by the court where it is difficult for the witness to express the information without stating an opinion
compendium	summary of material to be referred to at a hearing, designed for easy access by judge
compensatory claim	a claim for spousal support based on the recipient spouse's economic loss or disadvantage because of the marriage
competence	the legal ability to give oral evidence in a hearing
competent paralegal	a paralegal who has and applies the relevant skills, attributes, and values appropriate to each matter undertaken on behalf of a client
completion date	that date on which the transfer of title is to be made .
complex causation	multiple causative factors, including possible contributory negligence on the part of the plaintiff and/or conditions not caused by plaintiff or defendant
compliance with law statements	statements in which a lawyer confirms that all necessary legal requirements have been met
compromise and settlement	when a party agrees to waive some part of what is owing or make other concessions in order to resolve a matter without the additional costs, delay, and uncertainty of a court proceeding
concession	large parcel of land created during the original division of land in ontario resulting from the creation of east–west road allowances in a township
conciliation	a process where a third party attempts to assist the parties in reaching a negotiated agreement; conciliation is a prerequisite to a legal strike
condition	an essential term of a contract, the breach of which denies the innocent party the benefit of the contract, or defeats the purpose of the contract
condition precedent	an event (or non-event) that must occur (or not occur) before a contract can be enforced
condition precedent	a contractual condition that is required to be met before a contract can be completed .
condition subsequent	an event that, if it occurs, will terminate an existing contract
condition subsequent	a condition in a contract that causes the contract to become invalid if a certain event occurs .
conditional offer of employment	a job offer that is subject to certain requirements being met
conditional relevance	term describing evidence that may not initially appear relevant but is admitted on condition that its relevance will be established
conditional removal order	a departure order with conditions attached; issued pending the outcome of a refugee claim
conditional sale contract	with this kind of contract, the vendor finances the debtor's purchase, taking security in the item sold; also called a purchase money security agreement or a hire-purchase agreement; a slang term for this kind of contract is "buying on the never-never," meaning that you never seem to stop paying in order to get title to (own) the chattel
conditionally admissible	term describing evidence that is admitted for a specific purpose but that is not at that stage admissible on the larger issue
conditions of closing	terms of the agreement of purchase and sale that must be satisfied before any purchase or sale transaction can be completed
conditions of tender	conditions relating to the exchange of consideration due on the closing of a purchase and sale transaction
condominium	a method of land ownership in which the entire property is owned by a corporation, which is in turn owned by the owners of individual units within the condominium; ownership of units is registered separately from ownership of the complex as a whole
condominium corporation	corporation that comes into existence upon registration of the condominium plan
condominium unit	unit that is part of a condominium development
condonation	implied acceptance by one party of the conduct of another party; once misconduct is condoned, the person who has condoned the misconduct cannot take legal steps against the other without any new misconduct
condonation	divorces can be obtained by showing a fault of the other spouse , such as adultery or cruelty . but a court will refuse to grant a divorce based on these grounds if there has been `` condonation '' , which is the obvious or implied forgiveness of the fault .
conduct of sale	the person to whom the court grants the power to negotiate a sale , subject to court approval , in a forclosure proceedings . if there may be equity in the property the conduct of sale will be given to the owner . if not it could be given to the mortgage holder .
conduct unbecoming	conduct by a member of a profession that is inconsistent with the accepted standards of professional conduct for the profession
conference	a proceeding at which the refugee claimant (and/or counsel) meets with an rpd member before a hearing to discuss issues, relevant facts, and other matters to make the hearing more fair and efficient
conference brief	a case conference brief (form 17a or form 17b), a settlement conference brief (form 17c or form 17d), or a trial management conference brief (form 17e)
confession rule	rule that a statement made to a person in authority is not admissible unless it was made voluntarily
confidential	a worker who regularly has access to information that is normally kept from the union and who would be in a conflict of interest if he or she were included in the bargaining unit
conflict of interest	a situation in which a decision-maker has a personal or financial interest in the outcome of the proceeding that can affect his or her ability to make a fair decision, or where the same professional purports to represent parties who have incompatible interests
conflict of interest	the circumstance of a person who finds that one of his activities , interests , etc . may have a contrary interest on another of his interests or activities .
conforming use	to comply with a specified use , particularly involving real estate zoning by - laws .
conscriptive evidence	evidence obtained as a result of the accused's being compelled to participate in the creation or location of evidence
consensus	a result achieved through negotiation whereby a hybrid solution is arrived at between parties to an issue , dispute or disagreement , comprising typically of concessions made by all parties , and to which all parties then subscribe unanimously as an acceptable resolution to the issue or disagreement .
consensus ad idem	when there has been acceptance by the offeree of an offer, the parties have reached an agreement on terms, and they have an intention to be bound by those terms; they are said to have reached a consensus ad idem (a "meeting of the minds"); sometimes a shorter form is used, and the parties are said to be ad idem
consensus ad idem	latin term meaning an agreement , a meeting of the minds between the parties where all understand the committments made by each . this is a basic requirement for each contract .
consent to variance	committee of adjustment approval of a building or use of a property when it does not conform to a current bylaw and is not a legal non-conforming use
consequential damages	secondary damages that do not flow from the breach of contract but from the consequences of the breach, such as loss of future profits
consideration	payment; the benefit or value that flows from each party to a contract to the other and that induces each of them to enter into the agreement.
consideration	under common - law , one of the three criteria that have to be met before a contract is binding . refers to money or payment of money or some right , interest , profit or benefit accruing to the one party , or some forbearance , detriment , loss or responsibility given , suffered or undertaken by the other .
consign	to hand over or give poccession of an asset to someone .
conspiracy	a common design or plan by two or more persons to commit a criminal act or omission; to deceive, mislead, or defraud others of their legal rights; or to gain an unfair advantage .
constituent group	a group authorized by a sponsorship agreement holder to sponsor refugees on its behalf
constitution	the body of binding fundamental rules that govern the exercise of power by government; to be valid, all other laws must conform to this set of fundamental rules
constitution index	register that contains the declaration, description, and bylaws of the condominium
constitutional law	in canada, a body of written and unwritten laws that set out how the country will be governed, including the distribution of powers between the federal government and the provinces
construction	the legal process of interpreting a phrase or document ; of trying to find it 's meaning . whether it be a contract or a statute , there are times when a phrase may be unclear or of several meanings . then , either lawyers or judges must attempt to interpret or `` construct '' the probable aim and purpose of the phrase , by extrapolating from other parts of the document or , in the case of statutes , referring to a interpretation law which gives legal construction guidelines .
construction lien	lien against land that may be claimed by a person providing labour, services, or materials to a construction project
construction pyramid	illustration of the contractual relationships between parties in a typical large construction project
constructive discrimination	unintentional discrimination that has an adverse effect on members of certain groups; see also adverse effect discrimination
constructive dismissal	fundamental breach by an employer of an employment contract that entitles an employee to consider herself dismissed and to sue the employer for wrongful dismissal
constructive dismissal	under the employment law of some jurisdictions , judges will consider a situation where there has been a fundamental violation of the rights of an employee , by the employer , so severe that the employee would have the right to consider himself as dismissed , even though , in fact , there has been no act of dismissal on the part of the employer . for example , if an employer tries to force an employee to accept a drastic demotion , the employee might have a case for constructive dismissal and would be able to assume that the employment contract has been ended and seek compensation from a court .
constructive trust	an implied trust created by the operation of law, as distinguished from an express trust; often imposed by a court in an effort to reverse unjust enrichment
constructive trust	a trust which a court declares or imposes onto participants of very specific circumstances such as those giving rise to an action for unjust enrichment , and notwithstanding the lack of any willing settlor to declare the trust .
construe	to interpret
consumer debtor	a natural person who is bankrupt or insolvent and whose aggregate debts , excluding any debts secured by the person 's principle residence , do not exceed $ 250,000 or such other maximum as is prescribed .
consumer goods	goods that are used or acquired for use primarily for personal , family or household purposes .
consumer proposal	a plan put forth by a debtor to her creditors, through a trustee in bankruptcy, wherein a reduction of debt, interest, and/or a longer period to pay debts is suggested
consumer proposal	a simplified form of proposal available to debtors owing consumer and commercial debt less than $ 250,000 . 00 , excluding a mortgage on the principal residence .
contempt	any act that obstructs or hinders the court in the administration of justice, or that shows disrespect for the court; there must be an element of deliberation for an act to amount to contempt
contextual approach	the increasing tendency of courts to view employee misconduct within the overall context of the employment relationship, including length of service and work and disciplinary record, in determining whether the employer had just cause for dismissal
contingency fee	fee payable to a lawyer only if he or she wins the case for a client
contingency fee	that fee which a person , often a lawyer , is entitled to per agreement upon the successful completion of some action . for example , a lawyer can take on an action for , say , 25 % of the proceeds which he would only be entitled to if the action is successful .
contingent	conditional
contingent beneficiary	person who, if a particular condition is satisfied, becomes a beneficiary of a trust
contingent liability	a liability that is not fixed and absolute but will become fixed and absolute when a specified event occurs
continuance	a procedure that allows a corporation governed by the laws of one jurisdiction to leave that jurisdiction and to continue and become governed by the laws of another jurisdiction
continuing record	the court's records of all the documents in a case
contra	the setting off of mutual debt . for example , if a company owes $ 100 to another company that is owed $ 30 by that company in turn , the company is allowed to set off the $ 30 against the $ 100 and make a net payment of $ 70 .
contra proferentem rule	a rule used in the interpretation of contracts when dealing with ambiguous terms according to which a court will choose the interpretation that favours the party who did not draft the contract
contract	an agreement made between two or more parties or a party and the state that the law recognizes and will enforce
contract	an oral or written agreement between two or more parties which is enforceable by law . in order to be valid , a contract requires an offer , an acceptance of that offer and , in common - law jurisdictions , consideration .
contract law	an area of civil law that governs agreements between people or companies to purchase or provide goods or services
contract zone	the area between the positions of the parties where settlement is possible
contracting state	country that is a signatory to a contract or convention
contributory	a person who is liable to contribute to the property of the corporation in the event of the corporation's being wound up under the obca
contributory negligence	a common-law partial defence in an action arising from negligence in which it is asserted that the plaintiff's own negligence directly caused or contributed to the injuries suffered
contributory negligence	the negligence of a person which , while not being the primary cause of a tort , nevertheless combined with the act or omission of the primary defendant to cause the tort , and without which the tort would not have occurred .
convention	an agreement among nations, such as a multilateral treaty
convention refugee	a person who has been granted protection under the refugee definition in the 1951 convention relating to the status of refugees
conventions	ways of doing something that have been accepted for so long that they amount to unwritten rules
conversion	wrongful possession that includes exercise of rights of ownership, preventing the actual owner from exercising such rights
conversion	the action of conversion is a common law legal proceeding for damages by an owner of property against a defendant who came across the property and who , rather than return the property , converted that property to his own use or retained possession of the property or otherwise interfered with the property .
conveyance	that act which transfers property from one person to another .
conviction	a final decision by a justice that there is proof that the defendant committed the offence for which he or she was charged
cooling-off period	10-day period during which the purchaser can back out of the purchase
coparcenary	an obsolete co - ownership mechanism of english law where property , if there was no will , always went to the eldest son . if there was no male heir , the property went to all the female children collectively as a form of co - ownership .
copyright	the exclusive right to produce or reproduce -lrb- copy -rrb- , to perform in public or to publish an original literary or artistic work . many countries have expanded the definition of a `` literary work '' to include computer programmes or other electronically stored information .
corpcan	corporation canada's online computer system for producing and filing documents under the canada business corporations act through the online filing centre
corporation	a legal entity distinct from its shareholders or members, brought into existence by filing a document under the appropriate statute or special statute of the jurisdiction in which the corporation carries on business, with liability separate from its shareholders or members, and vested with the capacity of continuous succession
corporation profile report	a report produced by the ontario cpvsb that displays current information on the public record about a corporation, including all directors, officers, and registered office, as well as some historical information, such as amalgamation and name history
correctness	standard applied by a court to an agency's decision where there is only one correct answer to the question addressed; one of three standards of review historically applied by the courts in an appeal or judicial review proceeding; see also patent unreasonableness, reasonableness simpliciter
corroborate	confirm or support with additional evidence
corroboration	confirmation or support of evidence via other evidence
corroborative documents	documents that corroborate a party's allegations
cost of living clauses	clauses in collective agreements that give increases in wages during the life of an agreement based on increases in the cost of living due to inflation; also called escalator clauses
costs	the expenses connected with a legal proceeding, including a party's legal fees, disbursements, out-of-pocket expenses, and court filing fees; the court can order that the successful party in a proceeding pay a portion of the unsuccessful party's costs
costs of disposition	costs of disposing of the property, including real estate commission and legal fees
counsel	a lawyer who represents and advises a participant in a proceeding; usually distinguished from an agent; also called a "representative" or "advocate"
counsel slip	a form that must be filled out on a court appearance and given to the court clerk; it gives the court notice that there is someone appearing on the matter, and tells the court what your name is, the matter you are there on, and who your client is
counselling	individuals are required to take counselling from trustees or administrators when they file for bankruptcy or make consumer proposals . if they do not take counselling they may not be discharged from bankruptcy or have their consumer proposal satisfied .
counterclaim	claim made by the defendant in the main action against the plaintiff or against the plaintiff and other persons
counteroffer	a response to an offer by an offeree that does not unconditionally accept the terms of the offer but proposes to add to or modify the terms; also known as a sign-back
country information	for a refugee claimant, information on the country of reference, such as country-of-origin information, as provided by the rpd
court administration staff	work within the courthouse providing information and performing various administrative duties
court clerk	ensures poa proceedings run smoothly by providing assistance to the judge or justice
court interpreter	provides translation services to defendants who do not speak english
court martial	formal military justice process in which civilian rules of evidence apply
court of admiralty	a rather archaic term used to denote the court which has the right to hear shipping , ocean and sea legal cases . also known as `` maritime law '' .
court of competent jurisdiction	with respect to the power to grant a remedy under s. 24 of the charter, a body that (a) possesses jurisdiction over the parties, (b) possesses jurisdiction over the subject matter, and (c) has jurisdiction to grant the remedy requested
court of first instance	court that made a decision that is under appeal
court security officer	special constables who have been appointed to assist with courthouse security and attend to specific incidents that may arise
court-appointed guardianship	scheme under which substitute decision making for an incapable person is possible
covenant	promise by a party to an agreement to perform certain acts, or to refrain from acting in a certain manner, either prior to or following closing of the transaction
covenant	a written document in which signatories either commit themselves to do a certain thing , to not do a certain thing or in which they agree on a certain set of facts . they are very common in real property dealings and are used to restrict land use such as amongst shopping mall tenants or for the purpose of preserving heritage property .
craft unions	unions that organize on the basis of membership in a particular craft or trade, such as electrical or cabinet making, and ignore unskilled workers or members of other trades or crafts; also called horizontal unions
creditor	a person to whom money is owed; also, a person who is entitled to enforce an order for the payment or recovery of money
creditor	a person to whom money , goods or services are owed by the debtor . that person who has a claim , preferred , secured or unsecured , provable under the bankruptcy and insolvency act .
creditors of the estate	those to whom debts of the estate are owed
crime	an act or omission that is an offence under criminal law
crimes against humanity	any inhumane acts or omissions that are committed against any civilian population or any identifiable group
criminal conversation	a tort action by which a husband could claim damages against a man who had sexual intercourse with the husband's wife
criminal conversation	synonymous with adultery . in old english law , this was a claim for damages the husband could institute against the adulterer .
criminality	domestic crime, as opposed to crimes against humanity or war crimes; the irpa defines three categories of criminality: serious criminality under s. 36(1), criminality under s. 36(2), and organized criminality under s. 37
cross-claim	claim brought by one defendant whom the plaintiff is suing against another defendant whom the plaintiff is suing
cross-claiming defendant	defendant in the main action who commences a cross-claim against one or more of the other defendants in that action
cross-examination	questioning of a witness by an opposing party or representative for the purpose of casting doubt on the reliability of the witness's testimony or bringing out additional evidence supporting the position of the opposing party; see also examination-in-chief
cross-questioning	see cross-examination
crown	the state, including in the context of the criminal justice system; and/or the legal representative of the state
crown in right of ontario	the legal title used to refer to the government of ontario and how the government is usually named when it is a party to a legal proceeding
crown patent	grant of land by the crown (the government) to the first owner
crystallization	that point in time where a contract or agreement triggers certain clauses in that contract . for example , when a bank appoints an agent pursuant to its general security agreement , all the assets of the company in question , that are not secured by other creditors , are captured by that general security agreement .
cuius est solum , ejus est usque ad caelum et ad inferos	latin : who owns the land , owns down to the center of the earth and up to the heavens . this principle of land ownership has been greatly tempered by case law which has limited ownership upwards to the extent necessary to maintain structures . otherwise , airplanes would trespass incessantly .
culminating incident	the last incident of employee misconduct in a long history of misconduct; used to support dismissal
culpa lata	latin for gross negligence . it is more than just simple negligence and includes any action or an omission in reckless disregard of the consequences to the safety or property of another .
cumulative voting	a right sometimes given to shareholders whereby every shareholder entitled to elect directors can cast a number of votes equal to the number of votes attached to that shareholder's shares multiplied by the number of directors to be elected; in some cases, the shareholder may cast all his or her votes in favour of one candidate or distribute the votes among the candidates in any manner he or she sees fit
curtilage	the yard surrounding a residence or dwelling house which is reserved for or used by the occupants for their enjoyment or work . it is a term one might come across in a search warrant which calls for a search of the residence its ' curtilage of a particular person .
custody	the rights and responsibilities of a parent, including the right and responsibility to make decisions affecting the well-being of the child
custody	means the charge and control of a child including the right to make all major decisions such as education , religious upbringing , training , health and welfare . custody , without qualification usually refers to a combination of physical custody and legal custody . for other varieties of custody , see joint custody , split custody and divided custody .
customary international law	law customs and practice that take on the force of law over time
cy - prhs	`` as near as may be '' : a technical word used in the law of trusts or of wills to refer to a power that the courts have to , rather than void the document , to construct or interpret the will or a trust document `` as near as may be '' to the actual intentions of the signatory , where a literal construction would give the document illegal , impracticable or impossible effect .
damages	losses and/or a sum of money awarded by a court as compensation for harm or loss caused by a violation of the law — for example, a breach of contract or an instance of negligence
damages	cash compensation awarded by a court to offset losses or suffering caused by another person 's negligence or fault .
damages for mental anguish	damages that are awarded where the discriminatory conduct was wilful or reckless
date of default	the date the cause of action arose
date of the initial bankruptcy event	in respect of a person , it means the earliest of the date of filing or making :
day book	record listing recent registrations not yet entered into the abstract book
day parole	an offender 's release from custody during the day under specific conditions , with each night spent in an institution or halfway house ; usually a step toward full parole .
de bonis non	latin and short for de bonis non administratis . a term used exclusively in estate matters and refers to situations where an estate is abandonoed by an administrator only partially administered and someone must be appointed to complete the administration of the residue of the estate ; those assets not yet administered .
de facto	in fact , rather than in law ; e . g . de facto trustee .
de facto custody	actual custody, or custody in fact
de jure	according to law .
de minimis	latin term meaning "of the least amount"; used in a legal context, for example, to refer to the specified threshold at which a claim for compensation may be made
de minimis non curat lex	latin : a common law principle whereby judges will not sit in judgement of extremely minor transgressions of the law . it has been restated as `` the law does not concern itself with trifles '' .
de novo	latin : new . this term is used to refer to a trial which starts over , which wipes the slate clean and begins all over again , as if any previous partial or complete hearing had not occurred .
debenture	security instrument evidencing a debt due from one party to another , payable on demand or otherwise , which can be a fixed and / or floating charge on assets and which can grant the lender broad powers to recover the amount due upon default , including the appointment of a receiver or receiver - manager .
debtor	a person who owes money to another person; also, a person against whom an order for the payment of money may be enforced
debtor	a person who owes money , goods or services to another .
decertification	the legal process by which a group of unionized employees remove the union at their workplace
declarant	upon registration, the person who owns the land described in the description and who registers the declaration and description that create the condominium plan
declaration	document stating that the property is governed by the condominium act, 1998 and providing the consent of all mortgagees of the property, setting out the percentage of common elements associated with each unit and the percentage of common expenses that each unit owner will be required to pay, providing the address of the condominium corporation, and designating exclusive use common elements
declaration against interest	a statement made by a party that is against the party's legal interest
declaration of transmission	sworn statement by one or more of the estate trustees that sets out the particulars of the deceased and, if necessary, confirms that the deceased is the same person whose name appears on a stock certificate or in a transfer agent's records; used to direct the transfer agent to put the stock directly into the name of the estate or a beneficiary
declaration/declaratory judgment	a judgment where the court declares the rights of the parties on some issue before it; or a judgment issued by a court stating that a government authority is violating the law
declining jurisdiction	failure of an official or agency to carry out a statutory function that it has a duty to perform
decree absolute	the name given to the final and conclusive court order after the condition of a `` decree nisi '' is met .
decree nisi	a provisional decision of the court that does not have absolute effect until certain conditions are met .
deed	a written contract, made under seal by the promisor(s); also called a formal contract; typically used for the transfer of real property
deed	a written and signed document which sets out the things that have to be done or recognitions of the parties towards a certain object . the word deed is also most commonly used in the context of real estate because these transactions must usually be signed and in writing .
deem	to accept a document or an event as conclusive of a certain status in the absence of evidence or facts which would normally be required to prove that status .
deemed	accepted as conclusive of a certain state or condition in the absence of evidence or facts usually required to prove that state or condition
deemed disposition rule	rule that states that any capital gains that would have been earned by the deceased if he or she had disposed of all of the capital property in the last year of life must also be reported on the terminal t1 tax return
deemed rehabilitated	an exemption from criminal inadmissibility; a person who was convicted outside canada and who meets the criteria under s. 18(2) of the irp regulations may be deemed rehabilitated and permitted to enter canada
deemed trust	a trust that is established by statute to be in effect even though there may not be any actual asset or monies held in that trust . for example , revenue canada in a bankruptcy or insolvency situation takes the position that it has a deemed trust covering source deductions that they claim rank even ahead of certain secured creditors .
defalcation	1 . defaulting on a debt or other obligation such to account for public or trust funds . usually used in the context of public officials . 2 . defalcation has another legal meaning referring to the setting - off of two debts owed between two people by the agreement to a new amount representing the balance . i owe you $ 7 and you owe me $ 3 ; we agree to `` defalk '' ; the result is that i owe you $ 4 . this is a type of novation .
defamation	intentional harm to a person's reputation in the community either through slander (things said) or libel (things written)
defamation	an attack on the good reputation of a person , by slander or libel .
default	breach of one or more of the obligations contained in the charge; most commonly, the failure to remit principal and interest payments when due
default	failure to pay or otherwise perform obligations under a contract .
default judgment	a plaintiff obtains a default judgment when the defendant takes no action and files no defence when he is sued — in that case, the defendant is deemed to have admitted the debt and the plaintiff may then present necessary documents to the court clerk, who will then, on behalf of the court, sign a judgment for the amount owing; no hearing is required, no oral submissions are made, and no judge is required to sign a default judgment
defeasance	a side - contract which contains a condition which , if realized , could defeat the main contract . the common english usage of the word `` defeasance '' has also become acceptable in law , referring to a contract that is susceptible to being declared void as in `` immoral contracts are susceptible to defeasance . ''
defence	the collected facts and method adopted by a defendant to protect against and counter a plaintiff's action; also, the document filed in court setting out the nature of the defendant's position
defence of due diligence	the defendant must show that he or she took all reasonable steps to avoid committing the act in question
defence of necessity	the defendant must show that it was necessary to commit the act in question, that no reasonable alternative existed, and that the harm caused by the act was outweighed by the harm that was avoided
defence of statutory authority	a defence to strict liability that is available where a statute regulates a dangerous activity and the defendant complies with the statute
defendant	in civil law, the party against which an action is brought; in criminal law, the party charged with the offence
defendant on the cross-claim	defendant in the main action against whom a cross-claim is brought
defendant's claim	a claim by a defendant against any party named in the plaintiff's claim, including the plaintiff or a co-defendant, or against a third party not named in the plaintiff's claim
defer	to delay to a future time .
deference	a court's willingness to accept a decision of an agency rather than substitute a decision of its own despite the fact that the court may not agree with the decision; referred to in the context of standards of review in appeal or judicial review proceedings, often implying a duty or obligation of the court to the agency (to whom the court is said to "owe deference")
dehors	french for outside . in the context of legal proceedings , it refers to that which is irrelevant or outside the scope of the debate .
delegate	entrust a person or body to act in another's place
delegated legislation	see subordinate legislation
delegation of authority	the giving of decision-making power to someone else; for example, a minister may delegate authority to an immigration officer
delegatus non potest delegare	one of the pivotal principles of administrative law : that a delegate cannot delegate . in other words , a person to whom an authority or decision - making power has been delegated to from a higher source , canot , in turn , delegate again to another , unless the original delegation explicitly authorized it .
demand	to ask for with authority ; claim as a right .
demand letter	a letter usually from a lawyer on behalf of a client that makes a demand for payment or some other action which is in default . under the bankruptcy and insolvency act , a financial institution before it takes any action must give demand and notice of intention if it intends to enforce its security and must wait 10 days before it can enforce its security by , say , the appointment of a receiver or agent .
demerit points	a penalty administered by the ministry of transportation for driving offences
demonstrative gift	gift of a sum of money from a specifically identified source
demurrer	this is a motion put to a trial judge after the plaintiff has completed his or her case , in which the defendant , while not objecting to the facts presented , and rather than responding by a full defence , asks the court to reject the petition right then and there because of a lack of basis in law or insufficiency of the evidence .
denial	an assertion by a party that an allegation of fact made by another party is not true — in other words, that the allegation is disputed
denunciation	the formal or public expression of diapproval (often on moral grounds and often on behalf of civil society) of an act or omission
department	a unit of the executive branch of government over which a minister presides; usually established to administer a specific set of laws and programs relating to a particular subject area, such as health, protection of the environment, government finance, or stimulation of business activity
departure order	type of removal order that generally provides a person with 30 days in which to leave canada
dependent variable	a factor that changes as a result of the effects on it of an independent variable
deponent	person who makes an affidavit
deponent	the person who makes an affidavit; also known as the affiant
deportation order	type of removal order that bars re-entry to canada indefinitely
deposit	document registered on title that verifies or clarifies facts related to the title; part of the purchase price prepaid when the contract is entered into and applied against the purchase price
deposition	the official statement by a witness taken in writing -lrb- as opposed to testimony which where a witnesses give their perception of the facts verbally -rrb- . affidavits are the most common kind of depositions .
derivative action	a shareholder remedy where a complainant may apply to the court for permission to bring an action on behalf of the corporation or to intervene in an action to which the corporation is a party, for the purpose of prosecuting, defending, or discontinuing the action on behalf of the corporation
derivative evidence	evidence that derives from a breach of an accused's rights
derogable rights	human rights that can be temporarily suspended by a state in a time of public emergency; for example, freedom of movement may be temporarily restricted or removed
description	document containing a plan of survey of the condominium property, architectural plans of the buildings, specification of unit boundaries, unit diagrams, and the certificates of the architect and land surveyor
designate	choose someone for a position, duty, or responsibility
designated foreign national	a person (generally a refugee claimant) who was part of a group of smuggled persons into canada whom the minister has designated as an irregular arrival (see specific definition in irpa, s. 20.1)
designated irregular arrival	a group (generally of refugee claimants) that the minister has reasonable grounds to believe was part of a human smuggling operation and is so designated in the public interest
designated partner	a partner in a partnership with more than 10 partners and a principal place of business in ontario who submits a form on behalf of the partnership for registration under the business names act
designated representative	person chosen by the rpd to act and make decisions on behalf of a refugee claimant
detain	keep a person in legal custody, such as in a prison or immigration holding centre, prior to a hearing on a matter
detention	when a foreign national is detained within the 30-day period, such as for arrest on a criminal charge, the 30-day period is suspended until either the foreign national is released or the removal order becomes enforceable
detention review	hearing before the immigration division for the purpose of reviewing the reasons for a permanent resident's detention under the irpa
deterrence	a principle of sentencing intended to discourage a defendant (and other parties aware of the sentence) from offending or reoffending; specific and general are the two types of deterrence
detinue	wrongful possession of a chattel that belongs to another
detinue	a common law action similar to conversion and also involving the possession of property by the defendant but belonging to the plaintiff but in which the plaintiff asks the court for the return of the property , although the plaintiff may also ask for damages for the duration of the possession .
devastavit	latin for `` he has wasted . '' this is the technical word referring to a personal representative who has mismanaged the estate and allowed an avoidable loss to occur . this action opens the personal representative to personal liability for the loss .
devise	a specific gift of real property in a will
devise	the transfer or conveyance of real property by will .
devolution	the legal transfer of rights or powers from one person to another
diarize	record on a calendar the dates by which work must be completed
dicta or dictum	latin : an observation by a judge on a matter not specifically before the court or not necessary in determining the issue before the court ; a side opinion which does not form part of the judgment for the purposes of stare decisis . may also be called `` obiter dictum . ''
digital signature	unique digital identifiers comparable to a password or bank pin used by lawyers when documents are registered electronically
direct discrimination	discrimination resulting from a standard that is discriminatory on its face, rather than from a standard that is neutral on its face but has a discriminatory effect; see also adverse effect discrimination
direct evidence	evidence relating to an event that is given by a witness who directly observed the occurrence of the event; see also circumstantial evidence
direct examination	questioning of a witness by the advocate of the party who called that witness; see examination-in-chief
direct intent	done with conscious purpose
directed verdict	the judge directs that the accused be acquitted because the crown has not made a prima facie case
direction	a document or order telling someone to do something
director	the director appointed under s. 260 of the cbca or under s. 278 of the obca, as the case may be
directors	individuals responsible for managing the business and affairs of a corporation for the benefit of the shareholders
directory	` disclaimer `_
directory	` disclaimer `_
directory	` disclaimer `_
directory	` disclaimer `_
directory	` disclaimer `_
directory	` disclaimer `_
directory	` disclaimer `_
directory	` disclaimer `_
directory	` disclaimer `_
directory	` disclaimer `_
directory	` disclaimer `_
directory	` disclaimer `_
directory	` disclaimer `_
directory	` disclaimer `_
directory	` disclaimer `_
directory	` disclaimer `_
directory	` disclaimer `_
directory	` disclaimer `_
directory	` disclaimer `_
directory	` disclaimer `_
directory	` disclaimer `_
disallowance	to refuse or to set aside . for example , the trustee in bankruptcy , under the bankruptcy and insolvency act , can disallow a claim submitted by a creditor .
disbursements	amounts for out-of-pocket expenses (e.g., courier charges) paid out by the law office on its own account to third parties on behalf of a client
discharge	to cancel or relieve a person of an obligation or responsibility .
discharge of charge	a document given by the chargee to the chargor confirming that the loan has been paid in full and extinguishing the chargee's interest in the property
discharge of lien	document registered on title that discharges a construction lien
discharged	released, extinguished; a discharge of a contract occurs when the parties have complied with their obligations or other events have occurred that release one or both parties from performing their obligations
disclaim	the act of denying , refusing , renouncing or repudiating an interest that one might have in some item .
disclosure	the release of documents to the opposing side (and sometimes to the tribunal) prior to a proceeding; in criminal law, the documentation that the prosecutor will be relying on to prove the charges against the defendant
disclosure statement	document given to every purchaser of a condominium unit that includes details pertaining to the physical, legal, and financial aspects of the condominium corporation
discoverability rule	a rule that allows plaintiffs in some cases to sue outside the limitation period where the plaintiff lacked the information necessary to alert him or her to the existence of a claim prior to the expiry of the limitation period
discovery	a process where parties make their witnesses available to opposing parties for the purpose of answering questions under oath about the facts alleged in their pleadings
discretion	the power and/or freedom of a government official or agency to independently choose or craft a remedy from among a variety of options available under the law
